sentID.BTEC	sentID	dialect	pred_dialect	raw	CODA
487	4217	RAB	TUN	بسلاما صعيبة باش تقال.	بالسلامة صعيبة باش تقال.
541	4218	RAB	RAB	واش تقدر تصبن بالماكينة ولا باليد فالدار؟	واش تقدر تصبن بالماكينة ولا باليد فالدار؟
542	4219	RAB	RAB	بغيت علبة ديال الوان الطيف، عافاك.	بغيت علبة ديال الوان الطيف، عافاك.
561	4220	RAB	RAB	فس هاديك الحالة، غادي نقتارح هادا.	في هاديك الحالة، غادي نقتارح هادا.
610	4221	RAB	RAB	تقدر تحافض على الحوايج الثمينة ديالي؟	تقدر تحافض على الحوايج الثمينة ديالي؟
691	4222	RAB	RAB	من الشوف ة ديالها، باين فيك هزيتي شي نوع ديال التعفن.	من الشوفة ديالها، باين فيك هزيتي شي نوع ديال التعفن.
698	4223	RAB	RAB	نقدر ناخد جوج بلايص في الطابق الثاني لهاد العشية؟	نقدر ناخذ جوج بلايص في الطابق الثاني لهاد العشية؟
702	4224	RAB	RAB	وقتاش كا تحل البوسط ة؟	وقتاش كتحل البوسطة؟
752	4225	RAB	RAB	شكرا. ها هو الساروت ديال بيتك. الحمال غادي يهز الباليزات ديالك.	شكرا. هاهو الساروت ديال بيتك. الحمال غادي يهز الباليزات ديالك.
755	4226	RAB	RAB	حتافظ بالباليزات ديالي، عافاك.	احتافظ بالباليزات ديالي، عافاك.
785	4227	RAB	RAB	ما كا نظنش بلي نقدر نعاونك بزاف.	ما كنظنش باللي نقدر نعاونك بزاف.
802	4228	RAB	RAB	واخا تقول ليه يحبس من التدخين، تماك؟	وخا تقول ليه يحبس من التدخين، ثماك؟
827	4229	RAB	RAB	كا نتمنا ندير شي عمل خيري.	كنتمنا ندير شي عمل خيري.
841	4230	RAB	RAB	بريت مزيان.	بريت مزيان.
910	4231	RAB	RAB	واخا تعطيني شويا ديال الما، عافاك. راني عطشان بزاف.	وخا تعطيني شوية ديال الما، عافاك. راني عطشان بزاف.
989	4232	RAB	RAB	بغيت جوج من المعجنات ديال موريسوبا.	بغيت جوج من المعجنات ديال موريسوبا.
996	4233	RAB	RAB	جرحت راسي بالزاج هنا.	جرحت راسي بالزاج هنا.
997	4234	RAB	RAB	كان خاصني نسول المدرب . و لكن واش تقدر تقول ليا إينا ماكينا مزيانا باش نتريني الظهر ديالي؟	كان خاصني نسول المدرب. ولكن واش تقدر تقول لي اينا ماكينا مزيانة باش نتريني الظهر ديالي؟
1008	4235	RAB	RAB	العامل ديال التلفون.	العامل ديال التلفون.
1011	4236	RAB	RAB	كا نضن بلي غلطنا في المحطة.	كنظن باللي غلطنا في المحطة.
1024	4237	RAB	RAB	واش عاقل على النمرة ديال السيارة؟	واش عاقل على النمرة ديال السيارة؟
1043	4238	RAB	BEI	بيرة، سطيك مع الفريت، أو صالاظ شيف.	بيرة، سطيك مع الفريت، او صالاظ شيف.
1107	4239	RAB	RAB	غادي نعيط عاوتاني.	غادي نعيط عاوثاني.
1147	4240	RAB	RAB	واش كاتعرف واش ضروري من الحجز فداك المطعم؟	واش كتعرف واش ضروري من الحجز فداك المطعم؟
1151	4241	RAB	RAB	واش كاين شي محل ديال الحلاقة في لوطيل؟	واش كاين شي محل ديال الحلاقة في الاوطيل؟
1157	4242	RAB	RAB	عندي شي حاجة نسولك عليها.	عندي شي حاجة نسولك عليها.
1161	4243	RAB	RAB	عافاك سخن الغرفة شوية.	عافاك سخن الغرفة شوية.
1173	4244	RAB	RAB	ما نقدرش نقول ليك.	ما نقدرش نقول ليك.
1176	4245	RAB	RAB	فين كاين البلاطو رقم خمسة؟	فين كاين البلاطو رقم خمسة؟
1202	4246	RAB	RAB	بغيت مرشد كا يتكلم اليابانية.	بغيت مرشد كيتكلم اليابانية.
1223	4247	RAB	RAB	واش ساليتي العشا ديالك؟	واش ساليتي العشا ديالك؟
1225	4248	RAB	RAB	الجودة ديال هادا أحسن.	الجودة ديال هادا احسن.
1230	4249	RAB	RAB	قمرت بجوج جنيه أسترليني.	قمرت بجوج جنيه أسترليني.
1231	4250	RAB	RAB	واش عندكم شي خرجة للجسر ديال كولدن بريدج؟	واش عندكم شي خرجة للجسر ديال غولدن بريدج؟
1277	4251	RAB	TUN	الرحلة رقم سبع ميا و تلاتة لطوكيو نهار الجمعة، اربعة سبتمبر.	الرحلة رقم سبعمية وثلاثة لطوكيو نهار الجمعة، اربعة سبتمبر.
1286	4252	RAB	RAB	كا نقلب على اللصاق.	كنقلب على اللصاق.
1297	4253	RAB	BEI	أو غدا؟	او غدا؟
1310	4254	RAB	CAI	في صحتك.	في صحتك.
1323	4255	RAB	RAB	واش عندكم بالنتاينز ديال عشر سنين؟	واش عندكم بالنتاينز ديال عشر سنين؟
1328	4256	RAB	RAB	راه نقدرو، ولكن سمح ليا ياخد شي شهورة.	راه نقدروا، ولكن اسمح لي ياخذ شي شهورة.
1339	4257	RAB	RAB	بغيت شي حاجة في الستيل المعاود ديال شانيل.	بغيت شي حاجة في الستيل المعاود ديال شانيل.
1345	4258	RAB	RAB	بغيت نتسجل في الرحلة ديال شلالات نياكارا.	بغيت نتسجل في الرحلة ديال شلالات نياغارا.
1358	4259	RAB	RAB	كا نظن آه.	كنظن آه.
1371	4260	RAB	RAB	أوه، لا. كايقول ليا شي حاجة. شنو خاصني ندير؟	اوه، لا. كيقول لي شي حاجة. شنو خاصني ندير؟
1417	4261	RAB	RAB	"إينا طوبيس كا يمشي ل ""كيلد هول""؟"	"اينا طوبيس كيمشي ل""كيلد هول""؟"
1423	4262	RAB	RAB	راه كاين فوق الرف التاني، في الصف الوصطاني.	راه كاين فوق الرف الثاني، في الصف الوصطاني.
1443	4263	RAB	RAB	واش خاصني نرجع دابا لليابان؟	واش خاصني نرجع دابا لليابان؟
1447	4264	RAB	RAB	كان بورطكلي ديال واحد القط معلق بواحد لاستيك هنايا.	كان بورطكلي ديال واحد القط معلق بواحد الاستيك هنايا.
1457	4265	RAB	RAB	تمنطاش دولار بالضبط.	ثمنتعش دولار بالضبط.
1475	4266	RAB	RAB	هاد الدار واعرة.	هاد الدار واعرة.
1497	4267	RAB	RAB	كوكا صغيرة، عافاك.	كوكا صغيرة، عافاك.
1504	4268	RAB	RAB	بشحال غادي يدير التأمين ديالو بتلت ميات دولار؟	بشحال غادي يدير التأمين دياله بثلاث ميات دولار؟
1538	4269	RAB	RAB	ممكن عافاك تقول ليا ديالاش هاد التكلفة؟	ممكن عافاك تقول لي ديال اش هاد التكلفة؟
1553	4270	RAB	RAB	إينا ماتش ملعوب فالتيران دابا؟	اينا ماتش ملعوب فالتيران دابا؟
1568	4271	RAB	RAB	مع السبعة ديال الصباح، التوقيت المحلي.	مع السبعة ديال الصباح، التوقيت المحلي.
1591	4272	RAB	RAB	العلبة فيها خمسة و ستين سنتمتر فالطول، تلاتين سنتمتر فالعرض، و تمنطاش سنتمتر فالارتفاع.	العلبة فيها خمسة وستين سنتيمتر فالطول، ثلاثين سنتيمتر فالعرض، وثمنتعش سنتيمتر فالارتفاع.
1597	4273	RAB	RAB	العشرة واقفة. هادا هو الساروت ديال الغرفة ديالك . الغرفة ديالك هي خمسة و اربعين-تلاتة و تلاتين. الحمال غادي يهز ليك الباكاج ديالك.	العشرة واقفة. هادا هو الساروت ديال الغرفة ديالك. الغرفة ديالك هي خمسة واربعين-ثلاثة وثلاثين. الحمال غادي يهز ليك باغاج ديالك.
1602	4274	RAB	RAB	ممكن تقطع القصة ديالي نص إنش فوق من الحجبان ديالي؟	ممكن تقطع القصة ديالي نص إنش فوق من الحجبان ديالي؟
1611	4275	RAB	RAB	دور على ليسر عند الفيروج .	دور على الايسر عند الفيروج.
1626	4276	RAB	RAB	عافاك حيدي حوايجك و بدلي بهاد الكسوة.	عافاك حيدي حوايجك وبدل لي بهاد الكسوة.
1643	4277	RAB	TUN	عندك سكوتش؟	عندك سكوتش؟
1652	4278	RAB	RAB	فين كاين أقرب محل ديال الصبابط؟	فين كاين اقرب محل ديال الصبابط؟
1656	4279	RAB	BEI	عندك روح الفنان.	عندك روح الفنان.
1697	4280	RAB	RAB	واش كاتاخد شي دوا آخر؟	واش كتاخذ شي دوا آخر؟
1708	4281	RAB	RAB	لا شكرا على واجب، كا نفضل بلاصة على الطريق.	لا شكرا على واجب، كنفضل بلاصة على الطريق.
1710	4282	RAB	RAB	واش عندك شي غشا كا يمشي معاه؟	واش عندك شي غشا كيمشي معاه؟
1721	4283	RAB	RAB	هنا مزير بزاف.	هنا مزير بزاف.
1723	4284	RAB	RAB	السلام، هادي الغرفة اطناش اربعة وتلاتين . اسميتي أوظا. بغيت اتصال يفيقني غدا مع الستة ديال الصباح واقفة. شكرا.	السلام، هادي الغرفة اثنعش اربعة وثلاثين. اسميتي أوظا. بغيت اتصال يفيقني غدا مع الستة ديال الصباح واقفة. شكرا.
1740	4285	RAB	RAB	واش انت عضو في البرنامج المنتشر ديالنا اكري-طوموبيل؟	واش انت عضو في البرنامج المنتشر ديالنا اكري-طوموبيل؟
1814	4286	RAB	RAB	ما كانفهمش شنو كاتقول.	ما كنفهمش شنو كتقول.
1844	4287	RAB	RAB	واش كا يضرك راسك؟	واش كيضرك راسك؟
1850	4288	RAB	RAB	واش تقدر عافاك تهزني من أقرب محطة؟	واش تقدر عافاك تهزني من اقرب محطة؟
1851	4289	RAB	CAI	آه، معلوم.	آه، معلوم.
1857	4290	RAB	RAB	واخا تعطيني شي جرائد و شي مجلات؟	وخا تعطيني شي جرائد وشي مجلات؟
1879	4291	RAB	RAB	بغيت كتاب ديال النحو بالانجليزية.	بغيت كتاب ديال النحو بالانجليزية.
1884	4292	RAB	RAB	واش كاين شي ملعب ديال التنس قريب من هنا؟	واش كاين شي ملعب ديال التنس قريب من هنا؟
1889	4293	RAB	RAB	وقتاش كا يتفتحو وردات حب الملوك في الإحتفال ديال اليابان؟	وقتاش كيتفتحوا وردات حب الملوك في الاحتفال ديال اليابان؟
1896	4294	RAB	RAB	اه، عندنا. انا غادي نرجع بيه.	آه، عندنا. انا غادي نرجع بيه.
1914	4295	RAB	RAB	شنو بغيتي فوق منها؟	شنو بغيتي فوق منها؟
1933	4296	RAB	RAB	هاد النوع ديال الطرابش كايبان في الموضة. كا نظن بلي غادي نشري واحد، حتى أنا.	هاد النوع ديال الطرابش كيبان في الموضة. كنظن باللي غادي نشري واحد، حتى انا.
2002	4297	RAB	RAB	كيفاش بغيتي الفاتورات ديالك؟	كيفاش بغيتي الفاتورات ديالك؟
2019	4298	RAB	RAB	واش محلول دابا؟	واش محلول دابا؟
2026	4299	RAB	RAB	شنو هما الأعمال الرئيسية في هاد المعرض؟	شنو هما الاعمال الرئيسية في هاد المعرض؟
2061	4300	RAB	RAB	غادي نقلعو دابا شوية.	غادي نقلعوا دابا شوية.
2076	4301	RAB	RAB	واو. هادشي كبير بزاف.	واو. هاد الشي كبير بزاف.
2079	4302	RAB	RAB	من إينا سكة كا يخرج التران لي غادي ل ميلانو؟	من اينا سكة كيخرج التران اللي غادي لميلانو؟
2095	4303	RAB	RAB	عافاك وريني كيفاش ندير اتصال دولي.	عافاك وريني كيفاش ندير اتصال دولي.
2097	4304	RAB	RAB	يمكن ليا نهز معايا هاد الأمتعة؟	يمكن لي نهز معاي هاد الامتعة؟
2108	4305	RAB	RAB	الميزانية ديالي هي خمسين دولار.	الميزانية ديالي هي خمسين دولار.
2109	4306	RAB	RAB	أنا غادي ندوز ليك السيد سوزوكي.	انا غادي ندوز ليك السيد سوزوكي.
2150	4307	RAB	RAB	هاد الضرسة تهرسات.	هاد الضرسة تهرسات.
2162	4308	RAB	RAB	حتى، أنا. كان كا يصحاب ليا بلي تقدر تعاوني نفهم القايمة ديال الماكلة.	حتى، انا. كان كيصحاب لي باللي تقدر تعاوني نفهم القايمة ديال الماكلة.
2194	4309	RAB	RAB	واش نغلفها؟	واش نغلفها؟
2213	4310	RAB	RAB	خاص تقريبا تلاتة ديال السوايع باش توصل للمكتب و ترجع.	خاص تقريبا ثلاثة ديال السوايع باش توصل للمكتب وترجع.
2219	4311	RAB	RAB	عندي تذكرة ل ديترويد و لي كا تمشي مع لحضاش ديال الصباح.	عندي تذكرة لديترويد واللي كتمشي مع الحدعش ديال الصباح.
2239	4312	RAB	RAB	حفلة ديال ربعة، اليوم بالليل مع السبعة و نص. أشمن سمية؟	حفلة ديال اربعة، اليوم بالليل مع السبعة ونص. اشمن سمية؟
2240	4313	RAB	RAB	بغيت نبدل الطلب ديالي.	بغيت نبدل الطلب ديالي.
2255	4314	RAB	RAB	خمسة و عشرين دولار، داخل فيها الطوبيس، المرشد و المصاريف ديال الدخول.	خمسة وعشرين دولار، داخل فيها الطوبيس، المرشد والمصاريف ديال الدخول.
2258	4315	RAB	RAB	فين لي بان ليك جا معا هادا؟	فين اللي بان ليك جا مع هادا؟
2279	4316	RAB	RAB	آه، كا نقلب على كسوة.	آه، كنقلب على كسوة.
2312	4317	RAB	RAB	شكرا حيت وصلتيني هنايا من بعد سوايع. فعلا كا نقدر المساعدة ديالك.	شكرا حيث وصلتيني هنايا من بعد سوايع. فعلا كنقدر المساعدة ديالك.
2349	4318	RAB	RAB	من المفروض أنه يسخن الحال شوية هاد العشية.	من المفروض أنه يسخن الحال شوية هاد العشية.
2371	4319	RAB	RAB	فين كاينة المقبرة؟	فين كاينة المقبرة؟
2388	4320	RAB	RAB	هادشي مشوه.	هاد الشي مشوه.
2409	4321	RAB	BEI	عن طريق البريد البحري؟	عن طريق البريد البحري؟
2411	4322	RAB	RAB	خطير إيلا ما خديتش طاكسي في الرجعة للفندق .	خطير ايلا ما خذيتش طاكسي في الرجعة للفندق.
2453	4323	RAB	RAB	واش غادي نوصلو في الوقت؟	واش غادي نوصلوا في الوقت؟
2461	4324	RAB	RAB	بغيت الصرف.	بغيت الصرف.
2464	4325	RAB	RAB	ممكن تهدر بشويا عافاك؟	ممكن تهدر بشوية عافاك؟
2482	4326	RAB	RAB	كانقلب على شال ديال لحرير .	كنقلب على شال ديال الحرير.
2486	4327	RAB	RAB	غادي نمشي غدا فالسبعة ديال الصباح، بغيت الفاكتورة ديالي دابة.	غادي نمشي غدا فالسبعة ديال الصباح، بغيت الفاكتورة ديالي دابة.
2497	4328	RAB	RAB	كينين ربعة ديال المواسم متميزة.	كينين اربعة ديال المواسم متميزة.
2525	4329	RAB	RAB	غادي تاخد تسعود و تسعين يوم باش تصايب ليك البطاقة. عافاك خلي لينا سميا ديال لوطيل و الرقم فهاد الورقة، باش نقدرو نتاصلو بيك .	غادي تاخذ تسعود وتسعين يوم باش تصايب ليك البطاقة. عافاك خلي لينا السميا ديال الاوطيل والرقم فهاد الورقة، باش نقدروا نتاصلوا بيك.
2527	4330	RAB	RAB	غادي تمشي للمدراسة؟	غادي تمشي للمدراسة؟
2535	4331	RAB	DOH	بغيت خيمة.	بغيت خيمة.
2565	4332	RAB	RAB	هادي الوحدة وربعة دقايق ديال الزوال.	هادي الوحدة واربعة دقايق ديال الزوال.
2571	4333	RAB	DOH	إمكن ليك تستخدم نظام ليتايعفي من الرسوم الجمركية على المشتريات الي أكثر من تسعة وتسعين دولار.	امكن ليك تستخدم نظام اللي تيعفي من الرسوم الجمركية على المشتريات اللي اكثر من تسعة وتسعين دولار.
2580	4334	RAB	RAB	كانشوف. إوا عطيني جوج تيكيتات مشيان و مجيان لسان دييغو . عافاك.	كنشوف. ايوا اعطيني جوج تيكيتات مشيان ومجيان لسان دييغو. عافاك.
2607	4335	RAB	RAB	مزيانين للبحر .	مزيانين للبحر.
2625	4336	RAB	RAB	بسباب العاصفة الثلجية، رحلات الخطوط الجوية الكندية صفر صفر واحد تلغات.	بسباب العاصفة الثلجية، رحلات الخطوط الجوية الكندية صفر صفر واحد تلغات.
2663	4337	RAB	RAB	واش غادي نقدر نشري كولشي هادشي لي فاللائحة من السوق الممتاز اولا خصني نمشي للصيدلية حتا هيا؟	واش غادي نقدر نشري كول شي هاد الشي اللي فاللائحة من السوق الممتاز اولا خصني نمشي للصيدلية حتى هي؟
2680	4338	RAB	RAB	فين كاين المعرض؟	فين كاين المعرض؟
2700	4339	RAB	RAB	شحال كاتاخد ديال الوقت فبريد البحر؟	شحال كتاخذ ديال الوقت فبريد البحر؟
2710	4340	RAB	RAB	بغيت نبدل الطيارة.	بغيت نبدل الطيارة.
2720	4341	RAB	RAB	بغيت ندير درس في التزلج.	بغيت ندير درس في التزلج.
2722	4342	RAB	RAB	غير لواحد؟	غير لواحد؟
2743	4343	RAB	RAB	واش نقدرو نلعبو بهاد الصبابط؟	واش نقدروا نلعبوا بهاد الصبابط؟
2782	4344	RAB	RAB	خدا ليا صاكي.	خذا لي صاكي.
2787	4345	RAB	RAB	شنو خاصني نلبس؟	شنو خاصني نلبس؟
2857	4346	RAB	RAB	من المؤكد. و عافاك سلم على الآنسة كوك الي دارت بزاف ديال المبادارات الفعالة في الإجتماع ديالنا.	من المؤكد. وعافاك سلم على الآنسة كوك اللي دارت بزاف ديال المبادارات الفعالة في الاجتماع ديالنا.
2859	4347	RAB	RAB	واش عندك شي بلاصة للإقامة مازال متوفرة بهذا التمن؟	واش عندك شي بلاصة للاقامة ما زال متوفرة بهذا الثمن؟
2884	4348	RAB	RAB	من ليصر، هادو كا يشيرو لوقت التصنيع، التمن الممكن، و الخطر المادي المحتمل.	من الايسر، هادو كيشيروا لوقت التصنيع، الثمن الممكن، والخطر المادي المحتمل.
2903	4349	RAB	RAB	عندنا غير القياس تمنية دابا.	عندنا غير القياس ثمانية دابا.
2906	4350	RAB	RAB	أنا غير كا ندوز.	انا غير كندوز.
2910	4351	RAB	RAB	بغيت شي واحد صحيح.	بغيت شي واحد صحيح.
2948	4352	RAB	RAB	واخا تعاوني ناخد التذاكر؟	وخا تعاوني ناخذ التذاكر؟
2965	4353	RAB	RAB	هاد القهوة قاصحة بزاف.	هاد القهوة قاصحة بزاف.
2974	4354	RAB	DOH	ممكن تعطيني البنج؟	ممكن تعطيني البنج؟
2978	4355	RAB	RAB	واش شفتي المشتبه فيه مزيان؟	واش شفتي المشتبه فيه مزيان؟
3005	4356	RAB	RAB	بغيت شي ملابس داخلية.	بغيت شي ملابس داخلية.
3007	4357	RAB	RAB	الوجبة الرئيسية فيها اللحم مشوي و سرطان البحر.	الوجبة الرئيسية فيها اللحم مشوي وسرطان البحر.
3009	4358	RAB	RAB	منين كا تبدا السكة ديال التران ديال بوسطن؟	منين كتبدا السكة ديال التران ديال بوسطن؟
3018	4359	RAB	RAB	غادي ناكلو مجموعين، إيوا عافاك جيب فرشيطة زايدة؟	غادي ناكلوا مجموعين، إيوا عافاك جيب فرشيطة زايدة؟
3022	4360	RAB	DOH	في فندق هاليكولاني.	في فندق هاليكولاني.
3065	4361	RAB	RAB	شحال الثمن ديال الكرا ديال هاتف نقال و جهاز إخطار؟	شحال الثمن ديال الكرا ديال هاتف نقال وجهاز اخطار؟
3068	4362	RAB	RAB	واش بديتو تاخدو الطلبات ديال العشا؟	واش بديتوا تاخذوا الطلبات ديال العشا؟
3074	4363	RAB	RAB	طابلة حدا الشرجم، عافاك.	طابلة حدا الشرجم، عافاك.
3075	4364	RAB	RAB	واخا توريني هاداك لي في الشرجم؟	وخا توريني هاداك اللي في الشرجم؟
3086	4365	RAB	RAB	ما عندكش صرف كتر من هادا؟	ما عندكش صرف اكثر من هادا؟
3092	4366	RAB	RAB	ممكن تجيب لينا طفاية، عافاك؟	ممكن تجيب لينا طفاية، عافاك؟
3174	4367	RAB	DOH	بغيت مسكن.	بغيت مسكن.
3212	4368	RAB	RAB	واش يمكنك ليك الاتصال بشركة تأمين؟	واش يمكنك ليك الاتصال بشركة تأمين؟
3231	4369	RAB	RAB	تذكرة طالب، عافاك.	تذكرة طالب، عافاك.
3233	4370	RAB	RAB	عافاك كتب ليا ريسالة كيف توصل.	عافاك اكتب لي ريسالة كيف توصل.
3239	4371	RAB	RAB	سمح ليا، شوف. غادي نخلص كلشي، غير عافاك ماتعيطش لبوليس. بابا غادي يقتلني.	اسمح لي، شوف. غادي نخلص كل شي، غير عافاك ما تعيطش للبوليس. بابا غادي يقتلني.
3266	4372	RAB	RAB	سربي.	سربي.
3272	4373	RAB	RAB	سمح لي. ممكن تنعت ليا المحطة؟	اسمح لي. ممكن تنعت لي المحطة؟
3278	4374	RAB	RAB	بغيت نشوف الجبال.	بغيت نشوف الجبال.
3290	4375	RAB	RAB	بدل هادي لبيزيتا. عافاك.	بدل هادي لبيزيتا. عافاك.
3310	4376	RAB	RAB	لا. ولكن عندنا واحد الطبيب لي تايفهم اليابانية مزيان . إدا ماكاينش مشكل.	لا. ولكن عندنا واحد الطبيب اللي تيفهم اليابانية مزيان. اذا ما كاينش مشكل.
3330	4377	RAB	RAB	وريني الجدول الزمني، عافاك.	وريني الجدول الزمني، عافاك.
3353	4378	RAB	RAB	واش كاتعرف شي طبيب تايهضر باليابانية؟	واش كتعرف شي طبيب تيهدر باليابانية؟
3360	4379	RAB	RAB	ماقادراش نتيق خاصني نرجع لليابان. كنتمنا كون نقدر نبقا كتر.	ما قادراش نثيق خاصني نرجع لليابان. كنتمنا كون نقدر نبقى اكثر.
3366	4380	RAB	RAB	مشهورة بالمحيط الزوين ديالها.	مشهورة بالمحيط الزوين ديالها.
3418	4381	RAB	RAB	واش باغي تهبط التمن لسبعة دولار؟	واش باغي تهبط الثمن لسبعة دولار؟
3431	4382	RAB	DOH	تفرجتي في الماتش؟ اليانكيز ربحو.	تفرجتي في الماتش؟ اليانكيز ربحوا.
3445	4383	RAB	RAB	لا شكرا، أنا قادر نلقاه بوحدي.	لا شكرا، انا قادر نلقاه بوحدي.
3462	4384	RAB	RAB	ممكن تقول ليا شنو كاين اليوم في البرامج ديال التلفزة؟	ممكن تقول لي شنو كاين اليوم في البرامج ديال التلفزة؟
3473	4385	RAB	CAI	فين بادي الفيلم؟	فين بادي الفيلم؟
3483	4386	RAB	RAB	شنو هوا الشراب الخاص بيكم؟	شنو هوا الشراب الخاص بيكم؟
3551	4387	RAB	CAI	كان شعبي فالربعينات و الستينيات من القرن تسعتاش .	كان شعبي فالاربعينات والستينيات من القرن تسعتعش.
3693	4388	RAB	RAB	واش عندك فاكهة الكاكي؟	واش عندك فاكهة الكاكي؟
3703	4389	RAB	RAB	ممكن نسول على وقت المغادرة من هنايا؟	ممكن نسول على وقت المغادرة من هنايا؟
3710	4390	RAB	RAB	فهمت. خليني نشوف الأجندة ديالي. عندي امكانية هاد الجمعة. ما تفضل الصباح ولا العشية؟	فهمت. خليني نشوف الاجندة ديالي. عندي امكانية هاد الجمعة. ما تفضل الصباح ولا العشية؟
3716	4391	RAB	RAB	سمح ليا. ما هازش معايا دابا.	اسمح لي. ما هازش معاي دابا.
3718	4392	RAB	RAB	واخا. يالاه نبداو. واجد؟	وخا. يالله نبداوا. واجد؟
3719	4393	RAB	RAB	واش هادي كوارتز؟	واش هادي كوارتز؟
3722	4394	RAB	RAB	اه، خاصني حتى معجون الاسنان.	آه، خاصني حتى معجون الاسنان.
3730	4395	RAB	RAB	وقم الهاتف هو واحد جوج تلاتة اربعة خمسة ستة.	رقم الهاتف هو واحد جوج ثلاثة اربعة خمسة ستة.
3732	4396	RAB	RAB	بغيتي الحوت ولا اللحم؟	بغيتي الحوت ولا اللحم؟
3736	4397	RAB	RAB	ممكن تشوف في هاد اللائحة ديال فحص النظر، عافاك؟	ممكن تشوف في هاد اللائحة ديال فحص النظر، عافاك؟
3760	4398	RAB	RAB	خديت قرعة ديال الما معدني من التلاجة.	خذيت قرعة ديال الما المعدني من الثلاجة.
3821	4399	RAB	RAB	ما بغيتش هادا.	ما بغيتش هادا.
3824	4400	RAB	RAB	اه فهمت، راها زوينا، و لكن ماغالياش.	آه فهمت، راها زوينة، ولكن ما غالياش.
3830	4401	RAB	RAB	بشحال لليلة وحدة؟	بشحال لليلة واحدة؟
3855	4402	RAB	RAB	واش هي ضعيفة ولا كاتهرس؟	واش هي ضعيفة ولا كتهرس؟
3874	4403	RAB	RAB	"""كوكوروساما"" للشرح هادشي كامل ليا."	"""غوكوروساما"" للشرح هاد الشي كامل لي."
3875	4404	RAB	RAB	ما كان عندي حتى حركة فالسرج هادي تلت ايام.	ما كان عندي حتى حركة فالسرج هادي ثلاث ايام.
3902	4405	RAB	RAB	على حساب واش عندك شي حاجة تقولها ولا لا.	على حساب واش عندك شي حاجة تقولها ولا لا.
3907	4406	RAB	RAB	منشستر عافاك.	منشستر عافاك.
3992	4407	RAB	RAB	ها هو التوصيل ديال الخلاص ديالي.	هاهو التوصيل ديال الخلاص ديالي.
4009	4408	RAB	RAB	عافاك وريني.	عافاك وريني.
4015	4409	RAB	RAB	"علاش المنتوج ""أ"" بقا شاد بلاصتو في السوق الكبير في هاد الخمس السنين لي دازت؟"	"علاش المنتوج ""ا"" بقى شاد بلاصته في السوق الكبير في هاد الخمس السنين اللي دازت؟"
4029	4410	RAB	RAB	وقتاش كا يخرج اخر تران؟	وقتاش كيخرج آخر تران؟
4054	4411	RAB	RAB	لي ختاريتي ايكون مزيان.	اللي ختاريتي يكون مزيان.
4083	4412	RAB	RAB	ممكن نطلب منك تتصل بيا من بعد؟	ممكن نطلب منك تتصل بي من بعد؟
4105	4413	RAB	TUN	ممكن نقيس القياس الكبير التالي؟	ممكن نقيس القياس الكبير التالي؟
4123	4414	RAB	RAB	ممكن تعطيني شي دوا ديال المعدة؟	ممكن تعطيني شي دوا ديال المعدة؟
4136	4415	RAB	RAB	شي ميكة معاك؟	شي ميكة معاك؟
4153	4416	RAB	RAB	بغيت نصيفط برقية.	بغيت نصيفط برقية.
4154	4417	RAB	RAB	حيت القرارات كا يتخادو بشكل جماعي.	حيث القرارات كيتخاذوا بشكل جماعي.
